cardCompany	cardIssuer	cardNumber	cvvNumber	nameOnCard	billStreet	billCity	billState	billZip
Mastercard	Chase Bank	72126477272	1	x	x	x	xx	12345
Diners Club	Bank of America	12127397312	2	x	x	x	xx	12346
AMEX	Wells Fargo	78128407478	3	x	x	x	xx	12347
Visa	Patelco CU	13103417513	4	x	x	x	xx	12348
Discover	Wells Fargo	78104487678	5	x	x	x	xx	12349
Mastercard	Bank of America	14105497714	6	x	x	x	xx	12350
Mastercard	Wells Fargo	15106507815	7	x	x	x	xx	12351
Mastercard	Bank of America	78107517978	8	x	x	x	xx	12352
Discover	Wells Fargo	16108766816	9	x	x	x	xx	12353
Visa	Bank of America	72109776972	10	x	x	x	xx	12354
AMEX	Patelco CU	17110787017	11	x	x	x	xx	12355
Discover	Bank of America	78111797178	12	x	x	x	xx	12356
Mastercard	Bank of America	18112687218	13	x	x	x	xx	12357
Visa	Wells Fargo	19113697319	14	x	x	x	xx	12358
AMEX	Bank of America	45114117445	15	x	x	x	xx	12359
Discover	Bank of America	46115167546	16	x	x	x	xx	12360
Mastercard	Wells Fargo	47116127647	17	x	x	x	xx	12361
Diners Club	Patelco CU	48117187748	18	x	x	x	xx	12362
AMEX	Wells Fargo	49118137849	19	x	x	x	xx	12363
Visa	Bank of America	50119177950	20	x	x	x	xx	12364
Mastercard	Wells Fargo	51120148051	21	x	x	x	xx	12365
Mastercard	Wells Fargo	52121158152	22	x	x	x	xx	12366
