idcreditCard,cardCompany,cardIssuer,cardNumber,cvvNumber,nameOnCard,billStreet,billCity,billState,billZip,
,Mastercard,Chase Bank,72126477272,441,?,?,Santa Fe,NM,12345,
,Diners Club,Bank of America,12127397312,391,?,?,Salt Lake City,UT,12346,
,AMEX,Wells Fargo,78128407478,393,?,?,Mesa,AZ,12347,
,Visa,Patelco CU,13103417513,395,?,?,Vail,CO,12348,
,Discover,Wells Fargo,78104487678,397,?,?,Santa Fe,NM,12349,
,Mastercard,Bank of America,14105497714,399,?,?,Salt Lake City,UT,12350,
,Mastercard,Wells Fargo,15106507815,401,?,?,Mesa,AZ,12351,
,Mastercard,Bank of America,78107517978,407,?,?,Vail,CO,12352,
,Discover,Wells Fargo,16108766816,409,?,?,Santa Fe,NM,12353,
,Visa,Bank of America,72109776972,407,?,?,Salt Lake City,UT,12354,
,AMEX,Patelco CU,17110787017,409,?,?,Mesa,AZ,12355,
,Discover,Bank of America,78111797178,411,?,?,Vail,CO,12356,
,Mastercard,Bank of America,18112687218,413,?,?,Santa Fe,NM,12357,
,Visa,Wells Fargo,19113697319,415,?,?,Salt Lake City,UT,12358,
,AMEX,Bank of America,45114117445,417,?,?,Mesa,AZ,12359,
,Discover,Bank of America,46115167546,419,?,?,Vail,CO,12360,
,Mastercard,Wells Fargo,47116127647,421,?,?,Santa Fe,NM,12361,
,Diners Club,Patelco CU,48117187748,421,?,?,Orem,UT,12362,
,AMEX,Wells Fargo,49118137849,407,?,?,Mesa,AZ,12363,
,Visa,Bank of America,50119177950,409,?,?,Vail,CO,12364,
,Mastercard,Wells Fargo,51120148051,411,?,?,Santa Fe,NM,12365,
,Mastercard,Wells Fargo,52121158152,413,?,?,Salt Lake City,UT,12366,
